id,body_text_nostop
298,"['gare', 'troyes', 'gare', 'vendeuvre', 'aube']"
299,"['bayeleglise', 'juvancourt']"
300,"['gare', 'chaumont', 'gare', 'vendeuvre', 'aube']"
301,"['gare', 'vendeuvre', 'aube', 'juvancourt']"
302,"['gare', 'chaumont', 'villesouslaferté']"
303,"['briconla', 'poste', 'gare', 'chaumont']"
304,"['gare', 'stflorentinvergigny', 'gare', 'troyes']"
305,"['gare', 'larochemigennes', 'gare', 'troyes']"
306,"['gare', 'romillysurseine', 'gare', 'troyes']"
307,"['gare', 'troyes', 'payns', 'abri', 'savières']"
308,"['gare', 'nogentsurseine', 'gare', 'romillysurseine']"
309,"['gare', 'charlevillemézières', 'gare', 'hirson']"
310,"['gare', 'fismes', 'gare', 'reims']"
311,"['gare', 'aillevillers', 'gare', 'belfortville']"
312,"['gare', 'aillevillers', 'gare', 'lure']"
313,"['gare', 'besançonviotte', 'gare', 'morteau']"
314,"['gare', 'locle', 'gare', 'morteau']"
315,"['gare', 'valdahon', 'gare', 'morteau']"
316,"['gare', 'doleville', 'gare', 'mouchard']"
317,"['gare', 'lonslesaunier', 'gare', 'mouchard']"
318,"['gare', 'mouchard', 'gare', 'poligny']"
319,"['gare', 'besançonviotte', 'gare', 'mouchard']"
320,"['gare', 'frasne', 'gare', 'pontarlier']"
321,"['dompierrehalterout', 'gare', 'pontarlier']"
322,"['gare', 'pontarlier', 'grangesnarboz']"
323,"['gare', 'frasne', 'jougne']"
324,"['gare', 'champagnole', 'gare', 'saintclaude']"
325,"['gare', 'champagnolepevictor', 'gare', 'doleville']"
326,"['gare', 'andelot', 'gare', 'saintclaude']"
327,"['gare', 'doleville', 'gare', 'saintclaude']"
328,"['gare', 'mouchard', 'gare', 'saintclaude']"
329,"['gare', 'alès', 'gare', 'nîmes']"
330,"['gare', 'bastidestlaurent', 'gare', 'langogne']"
331,"['gare', 'langogne', 'gare', 'mende']"
332,"['gare', 'bastidestlaurent', 'gare', 'mende']"
333,"['gare', 'millau', 'marvejols', 'place', 'chayla']"
334,"['gare', 'clermontferrand', 'gare', 'mende']"
335,"['gare', 'puyenvelay', 'gare', 'marvejols']"
336,"['gare', 'mende', 'gare', 'stchélydapcher']"
337,"['gare', 'bastidestlaurent', 'gare', 'marvejols']"
338,"['gare', 'mende', 'marvejols', 'place', 'chayla']"
339,"['gare', 'carcassonne', 'quillan']"
340,"['gare', 'carcassonne', 'gare', 'limoux']"
341,"['gare', 'limoux', 'quillan']"
342,"['gare', 'bédarieux', 'gare', 'béziers']"
343,"['gare', 'guéret', 'gare', 'montluçonville']"
344,"['gare', 'tulle', 'gare', 'ussel']"
345,"['gare', 'egletons', 'gare', 'tulle']"
346,"['gare', 'egletons', 'gare', 'meymac']"
347,"['gare', 'brivelagaillarde', 'gare', 'egletons']"
348,"['bortlesorgues', 'gare', 'ussel']"
349,"['gare', 'nancyville', 'mirecourt']"
350,"['martignylesbthiebaut', 'vézelise', 'beauregard']"
351,"['damblain', 'eglise', 'gare', 'nancyville']"
352,"['gare', 'contrexéville', 'gare', 'nancyville']"
353,"['gare', 'contrexéville', 'mirecourt']"
354,"['gare', 'vittel', 'mirecourt']"
355,"['gare', 'nancyville', 'martignylesbthiebaut']"
356,"['gare', 'nancyville', 'gare', 'vittel']"
357,"['gare', 'nancyville', 'mirecourt', 'lycée', 'agric']"
358,"['gare', 'bening', 'gare', 'sarreguemines']"
359,"['bitchequartierdriant', 'gare', 'bening']"
360,"['gare', 'charmes', 'vosges', 'gare', 'vittel']"
361,"['gare', 'charmes', 'vosges', 'mirecourt']"
362,"['gare', 'charmes', 'vosges', 'mirecourt', 'lycée', 'agric']"
363,"['igney', 'centre', 'sarrebourglpmessmer']"
364,"['gare', 'sarrebourg', 'igney', 'centre']"
365,"['gare', 'longuyon', 'gare', 'longwy']"
366,"['gare', 'longuyon', 'gare', 'montmédy']"
367,"['gare', 'longuyon', 'vezincarrefour']"
368,"['gare', 'morhange', 'gare', 'sarrebourg']"
369,"['gare', 'sarrebourg', 'loudrefing']"
370,"['gare', 'morhange', 'gare', 'rémilly']"
371,"['longuyon', 'collège', 'vezincarrefour']"
372,"['gare', 'sarrebourg', 'stjeandebasseleglis']"
373,"['gare', 'nancyville', 'gare', 'neufchâteau']"
374,"['fénétrange', 'gendarm', 'sarrebourghôpital']"
375,"['loudrefing', 'sarrebourglpmessmer']"
376,"['sarrebourg', 'place', 'math', 'stjeandebasseleglis']"
377,"['sarrebourglpmessmer', 'stjeandebasseleglis']"
378,"['gare', 'neufchâteau', 'gare', 'toul']"
379,"['gare', 'toul', 'neufchateaulp']"
380,"['gare', 'nancyville', 'neufchateaulp']"
381,"['allampsesat', 'gare', 'toul']"
382,"['creutzwald', 'gr', 'gare', 'thionville']"
383,"['fénétrange', 'gendarm', 'sarrebourglpmessmer']"
384,"['gare', 'stdiédesvosges', 'lavelinedbruy', 'mairie']"
385,"['gare', 'epinal', 'gare', 'stdiédesvosges']"
386,"['bruyères', 'vosges', 'gare', 'epinal']"
387,"['bruyères', 'vosges', 'gare', 'stdiédesvosges']"
388,"['bouzonville', 'gare', 'thionville']"
389,"['gare', 'epinal', 'lavelinedbruy', 'mairie']"
390,"['gare', 'thionville', 'kédange', 'eglise']"
391,"['gare', 'thionville', 'hombourg', 'chapelle']"
392,"['gare', 'epinal', 'saintléonard', 'centre']"
393,"['corcieux', 'conti', 'gare', 'epinal']"
394,"['gare', 'arches', 'gare', 'stdiédesvosges']"
395,"['bruyères', 'chanzy', 'gare', 'gare', 'epinal']"
396,"['gare', 'arches', 'gare', 'epinal']"
397,"['bruyères', 'chanzy', 'gare', 'gare', 'stdiédesvosges']"
398,"['gare', 'thionville', 'perl', 'gare', 'db']"
399,"['gare', 'sarreguemines', 'sarreunion']"
400,"['herbitzheim', 'r', 'hambach', 'sarreunion']"
401,"['gare', 'sarreguemines', 'sarralbe', 'centre']"
402,"['loudrefing', 'sarrebourg', 'place', 'math']"
403,"['herbitzheim', 'mairie', 'sarreunion']"
404,"['gare', 'sarrebourg', 'gare', 'sarreguemines']"
405,"['fénétrange', 'gendarm', 'sarrebourgabriphalsbo']"
406,"['gare', 'sarreguemines', 'sarrebourg', 'place', 'math']"
407,"['berthelmingmairie', 'sarrebourgabriphalsbo']"
408,"['gare', 'metzville', 'gare', 'nancyville']"
409,"['gare', 'saverne', 'sarralbe']"
410,"['keskastel', 'sarreunion']"
411,"['gare', 'saverne', 'sarreunion']"
412,"['bruyères', 'vosges', 'saintléonard', 'centre']"
413,"['gare', 'barleduc', 'gare', 'revigny']"
414,"['gare', 'charmes', 'vosges', 'gare', 'epinal']"
415,"['gare', 'conflansjarny', 'gare', 'pagnysurmoselle']"
416,"['gare', 'figeac', 'gare', 'gramat']"
417,"['gare', 'mazamet', 'gare', 'toulousematabiau']"
418,"['gare', 'muret', 'gare', 'pau']"
419,"['gare', 'pau', 'gare', 'toulousematabiau']"
420,"['gare', 'agen', 'gare', 'castelsarrasin']"
421,"['gare', 'longagesnoé', 'stsulpicesurlèze']"
422,"['gare', 'montréjeaugourdanpol', 'luchonrichelieu']"
423,"['gare', 'axlesthermes', 'gare', 'toulousematabiau']"
424,"['gare', 'axlesthermes', 'gare', 'foix']"
425,"['gare', 'axlesthermes', 'gare', 'pamiers']"
426,"['gare', 'montréjeaugourdanpol', 'luchon']"
427,"['gare', 'axlesthermes', 'latour', 'carol']"
428,"['gare', 'foix', 'gare', 'pamiers']"
429,"['gare', 'souillac', 'gare', 'stdenisprèsmartel']"
430,"['gare', 'albiville', 'gare', 'toulousematabiau']"
431,"['gare', 'foix', 'gare', 'toulousematabiau']"
432,"['comines', 'france', 'gare', 'lille', 'flandres']"
433,"['gare', 'lille', 'flandres', 'wambrechies']"
434,"['gare', 'abbeville', 'gare', 'boulogne', 'ville']"
435,"['gare', 'abbeville', 'gare', 'rue']"
436,"['gare', 'lens', 'gare', 'lille', 'flandres']"
437,"['gare', 'avesnes', 'gare', 'hirsonecoles']"
438,"['gare', 'arras', 'gare', 'douai']"
439,"['gare', 'hazebrouck', 'gare', 'lille', 'flandres']"
440,"['gare', 'busigny', 'gare', 'st', 'quentin']"
441,"['gare', 'calais', 'fréthun', 'gare', 'calais', 'ville']"
442,"['gare', 'coutances', 'gare', 'lison']"
443,"['gare', 'granville', 'gare', 'lison']"
444,"['gare', 'coutances', 'gare', 'granville']"
445,"['gare', 'coutances', 'gare', 'pontorsonmtstmichel']"
446,"['gare', 'granville', 'virecentre']"
447,"['gare', 'argentan', 'gare', 'flers']"
448,"['bagnoles', 'orne', 'eglmad', 'gare', 'briouze']"
449,"['bagnoles', 'orne', 'eglmad', 'gare', 'argentan']"
450,"['gare', 'alençon', 'gare', 'surdon']"
451,"['gare', 'laigle', 'gare', 'surdon']"
452,"['gare', 'dreux', 'gare', 'laigle']"
453,"['gare', 'lisieux', 'gare', 'trouvilledeauville']"
454,"['gare', 'divescabourg', 'gare', 'trouvilledeauville']"
455,"['gare', 'caen', 'gare', 'rouenrivedroite']"
456,"['gare', 'evreux', 'normandie', 'gare', 'serquigny']"
457,"['gare', 'villedieu', 'gare', 'mont', 'st', 'michel']"
458,"['gare', 'granville', 'gare', 'rennes']"
459,"['gare', 'caen', 'gare', 'rennes']"
460,"['gare', 'bréautébeuzeville', 'gare', 'fécamp']"
461,"['gare', 'manteslajolie', 'gare', 'rouenrivedroite']"
462,"['pontaudemergaresncf', 'rouengareroutière']"
463,"['rouengareroutière', 'routotplacedemairie']"
464,"['bourgachard', 'champ', 'f', 'pontaudemergaresncf']"
465,"['gare', 'nantes', 'gare', 'stgillescroixdevie']"
466,"['gare', 'cholet', 'gare', 'nantes']"
467,"['gare', 'cholet', 'gare', 'clisson']"
468,"['gare', 'albert', 'gare', 'amiens']"
469,"['gare', 'beauvaisgaresncf', 'gare', 'creil']"
470,"['gare', 'hirson', 'laongareroutièrepoma']"
471,"['gare', 'compiègne', 'gare', 'ribécourt']"
472,"['gare', 'compiègne', 'gare', 'st', 'quentin']"
473,"['gare', 'compiègne', 'gare', 'tergnier']"
474,"['gare', 'chatellerault', 'gare', 'poitiers']"
475,"['gare', 'mauzé', 'gare', 'niort']"
